month,day_of_week,hour_of_day,mean_rides
6,5,13,69.5
6,5,14,82.375
6,5,15,85.125
6,5,16,70.625
6,5,17,72.5
6,5,18,82.25
6,5,19,93.625
6,5,20,83.5
6,5,21,78.5
6,5,22,67.875
6,5,23,49.375
6,6,0,37.625
6,6,1,15.125
6,6,2,12.0
6,6,3,16.125
6,6,4,24.875
6,6,5,35.0
6,6,6,43.75
6,6,7,52.375
6,6,8,59.5
6,6,9,60.875
6,6,10,60.625
6,6,11,57.75
6,6,12,56.75
6,6,13,59.125
6,6,14,69.625
6,6,15,58.625
6,6,16,56.75
6,6,17,60.0
6,6,18,60.0
6,6,19,49.875
6,6,20,33.125
6,6,21,19.5
6,6,22,12.625
6,6,23,9.5
7,0,0,9.5
7,0,1,11.0
7,0,2,32.125
7,0,3,48.625
7,0,4,69.875
7,0,5,64.0
7,0,6,53.0
7,0,7,52.5
7,0,8,57.0
7,0,9,55.125
7,0,10,68.625
7,0,11,62.75
7,0,12,55.75
7,0,13,67.875
7,0,14,67.625
7,0,15,78.5
7,0,16,72.25
7,0,17,64.25
7,0,18,60.375
7,0,19,44.375
7,0,20,30.0
7,0,21,18.0
7,0,22,12.875
7,0,23,9.375
7,1,0,6.875
7,1,1,12.625
7,1,2,38.0
7,1,3,60.375
7,1,4,83.25
7,1,5,69.75
7,1,6,62.125
7,1,7,66.25
7,1,8,69.25
7,1,9,70.875
7,1,10,66.5
7,1,11,68.625
7,1,12,53.5
7,1,13,66.625
7,1,14,90.5
7,1,15,91.875
7,1,16,83.5
7,1,17,82.625
7,1,18,71.375
7,1,19,61.25
7,1,20,41.5
7,1,21,23.75
7,1,22,19.875
7,1,23,10.5
7,2,0,6.777777777777778
7,2,1,10.333333333333334
7,2,2,31.444444444444443
7,2,3,58.111111111111114
7,2,4,74.55555555555556
7,2,5,73.33333333333333
7,2,6,67.22222222222223
7,2,7,67.44444444444444
7,2,8,68.22222222222223
7,2,9,74.0
7,2,10,71.11111111111111
7,2,11,67.66666666666667
7,2,12,63.22222222222222
7,2,13,74.0
7,2,14,89.0
7,2,15,94.66666666666667
7,2,16,94.77777777777777
7,2,17,83.0
7,2,18,79.66666666666667
7,2,19,68.66666666666667
7,2,20,48.44444444444444
7,2,21,26.444444444444443
7,2,22,19.555555555555557
7,2,23,14.444444444444445
7,3,0,9.5
7,3,1,11.5
7,3,2,30.9
7,3,3,55.8
7,3,4,78.2
7,3,5,76.2
7,3,6,62.2
7,3,7,65.6
7,3,8,68.9
7,3,9,64.2
7,3,10,69.9
7,3,11,70.6
7,3,12,55.5
7,3,13,67.0
7,3,14,88.8
7,3,15,98.4
7,3,16,86.5
7,3,17,83.7
7,3,18,83.0
7,3,19,80.2
7,3,20,63.7
7,3,21,46.5
7,3,22,31.9
7,3,23,20.9
7,4,0,14.5
7,4,1,14.3
7,4,2,32.9
7,4,3,50.4
7,4,4,74.6
7,4,5,69.1
7,4,6,71.8
7,4,7,64.2
7,4,8,71.2
7,4,9,68.0
7,4,10,69.2
7,4,11,63.0
7,4,12,56.1
7,4,13,65.9
7,4,14,85.3
7,4,15,95.9
7,4,16,81.8
7,4,17,79.0
7,4,18,78.8
7,4,19,85.2
7,4,20,77.0
7,4,21,66.7
7,4,22,57.0
7,4,23,45.7
